path,label,width,height,format,mode,valid
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_001.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_002.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_003.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_004.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_005.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_006.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_007.jpg,Golden-Delicious,348,464,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_008.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_009.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_010.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_011.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_012.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_013.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_014.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_015.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_016.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_017.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_018.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_019.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_020.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_021.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_022.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_023.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_024.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_025.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_026.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_027.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_028.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_029.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_030.jpg,Golden-Delicious,348,464,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_031.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_032.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_033.jpg,Golden-Delicious,348,464,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_034.jpg,Golden-Delicious,348,464,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_035.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_036.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_037.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_038.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_039.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_040.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_041.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_042.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_043.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_044.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Golden-Delicious\Golden-Delicious_045.jpg,Golden-Delicious,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Granny-Smith\Granny-Smith_001.jpg,Granny-Smith,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Granny-Smith\Granny-Smith_002.jpg,Granny-Smith,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Granny-Smith\Granny-Smith_003.jpg,Granny-Smith,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Granny-Smith\Granny-Smith_004.jpg,Granny-Smith,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Granny-Smith\Granny-Smith_005.jpg,Granny-Smith,348,348,JPEG,RGB,True
D:\Manav Konde\PROJECT\meal-planner\data\raw\grocery\dataset\train\Fruit\Apple\Granny-Smith\Granny-Smith_006.jpg,Granny-Smith,348,348,JPEG,RGB,True
