original,duplicate,label,hash_distance
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_136.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_19.jpg,Banana,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_123.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_65.jpg,Banana,2
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_6.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_69.jpg,Banana,2
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_112.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_70.jpg,Banana,4
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_139.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_76.jpg,Banana,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_139.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Banana_85.jpg,Banana,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_120.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_122.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_105.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_126.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_113.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_132.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_100.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_133.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_105.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_140.jpg,Bread,0
D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_115.jpg,D:\Manav Konde\PROJECT\meal-planner\data\raw\fridge_objects\Refrigerator_Contents_7_Classes_Dataset\Refrigerator_Contents_7_Classes_Dataset\Bread_20.jpg,Bread,0
